thread_url,thread_title,thread_type,source_platform,thread_date
https://forums.anandtech.com/threads/charge-ms-surface-laptop-w-usb-cable.2632473/post-41523723,unknown,discussion,AnandTech,2025-10-16T00:00:00
https://forums.anandtech.com/threads/cant-install-w11-on-dell-optiplex-9020-wont-shutdown.2631005/,unknown,discussion,AnandTech,2025-07-19T00:00:00
https://forums.anandtech.com/threads/intels-current-woes-and-the-low-end-of-the-desktop-cpu-market.2632825/post-41535918,Intel's current woes and the low end of the desktop CPU market,question,AnandTech,2025-11-14T00:00:00
https://forums.anandtech.com/threads/dell-27-gaming-monitors-g2724d-and-g2725d-on-sale-for-150-free-shipping-from-dell.2623851/,unknown,discussion,AnandTech,2024-11-27T00:00:00
https://forums.anandtech.com/threads/dram-prices-speculation-omg.2632914/post-41540039,DRAM prices speculation (OMG),question,AnandTech,2025-11-22T00:00:00
https://forums.anandtech.com/threads/intels-current-woes-and-the-low-end-of-the-desktop-cpu-market.2632825/post-41535916,Intel's current woes and the low end of the desktop CPU market,question,AnandTech,2025-11-14T00:00:00
https://forums.anandtech.com/threads/i5-14400-in-a-prebuilt-system-rebadged-alder-lake-or-raptor-lake.2633129/post-41544886,i5-14400 in a prebuilt system: rebadged Alder Lake or Raptor Lake,question,AnandTech,2025-12-11T00:00:00
https://forums.anandtech.com/threads/long-shot-but-anyone-live-around-brick-nj-who-would-be-willing-to-help-a-fellow-old-timer-out.2630760/post-41469075,unknown,discussion,AnandTech,2025-06-27T00:00:00
https://forums.anandtech.com/threads/which-gpu-upgrade-made-the-most-noticeable-difference-in-real-world-tasks.2633448/post-41554238,Which GPU upgrade made the most noticeable difference in real-world tasks?,question,AnandTech,2026-01-03T00:00:00
https://forums.anandtech.com/threads/new-work-laptop-amd-or-intel.2632915/,unknown,discussion,AnandTech,2025-11-22T00:00:00
https://forums.anandtech.com/threads/long-shot-but-anyone-live-around-brick-nj-who-would-be-willing-to-help-a-fellow-old-timer-out.2630760/post-41469069,unknown,discussion,AnandTech,2025-06-27T00:00:00
https://forums.anandtech.com/threads/budget-mobo-recommendation.2633355/post-41548249,Budget mobo recommendation,question,AnandTech,2025-12-22T00:00:00
https://forums.anandtech.com/threads/new-work-laptop-amd-or-intel.2632915/post-41539278,unknown,discussion,AnandTech,2025-11-22T00:00:00
https://forums.anandtech.com/threads/is-it-possible-to-install-win-7-on-dell-7820-workstation.2630861/post-41473030,unknown,discussion,AnandTech,2025-07-07T00:00:00
https://forums.anandtech.com/threads/dell-alienware-2230-nvme-with-power-leads.2633420/,dell alienware 2230 nvme with power leads ?,question,AnandTech,2025-12-30T00:00:00
https://forums.anandtech.com/threads/help-deciding-between-these-lenovo-thinkpad-and-dell-inspiron-laptops-any-insight-appreciated.2627084/,unknown,discussion,AnandTech,2025-02-20T00:00:00
