report_id,solution_id,suggestion_confidence,is_experimental
report_0001,solution_0029,1,False
report_0003,solution_0003,2,False
report_0004,solution_0018,2,True
report_0006,solution_0014,5,False
report_0007,solution_0032,1,True
report_0010,solution_0041,3,True
report_0012,solution_0023,3,True
report_0013,solution_0030,2,False
report_0014,solution_0024,2,False
report_0016,solution_0005,1,True
report_0018,solution_0019,3,False
report_0019,solution_0033,2,False
report_0021,solution_0007,3,False
report_0022,solution_0039,3,True
report_0023,solution_0015,5,False
report_0025,solution_0022,4,False
report_0032,solution_0000,2,True
report_0033,solution_0028,3,True
report_0034,solution_0041,1,True
report_0038,solution_0010,4,False
report_0039,solution_0021,2,False
report_0044,solution_0018,5,False
report_0045,solution_0001,2,True
report_0046,solution_0019,5,False
report_0050,solution_0041,3,False
report_0051,solution_0024,4,False
report_0052,solution_0013,4,False
report_0055,solution_0032,3,False
report_0058,solution_0007,3,True
report_0059,solution_0004,3,True
report_0063,solution_0016,5,False
report_0065,solution_0025,1,False
report_0068,solution_0006,2,True
report_0073,solution_0026,1,True
report_0075,solution_0014,3,False
report_0076,solution_0009,3,True
report_0081,solution_0022,1,True
report_0082,solution_0032,5,False
report_0084,solution_0005,5,False
report_0085,solution_0013,5,False
report_0086,solution_0006,3,False
report_0090,solution_0037,4,False
report_0091,solution_0003,3,True
report_0092,solution_0038,2,False
report_0094,solution_0025,2,True
report_0096,solution_0013,2,False
report_0097,solution_0000,1,False
report_0098,solution_0015,1,False
